일자,자치구,총사용수(B),총사용수(S),평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2024-01-05,강북구,1347,48489,4.3,0.8,8.7,0.0,0.0321,0.0211,0.83,0.0032,82.0,57.0
2024-01-05,강서구,12845,190048,5.4,0.8,10.1,0.0,0.0308,0.0257,0.74,0.0035,86.0,56.0
2024-01-05,관악구,2078,160233,3.9,-0.9,7.7,0.0,0.0295,0.026,0.77,0.0032,93.0,56.0
2024-01-05,광진구,4359,66889,5.7,3.1,9.4,0.0,0.0353,0.0321,0.68,0.0032,75.0,47.0
2024-01-05,구로구,3925,132034,,,,0.0,0.0221,0.0212,0.65,0.0028,92.0,62.0
2024-01-05,금천구,1893,102267,5.4,1.5,8.9,0.0,0.0315,0.0258,0.81,0.0032,87.0,63.0
2024-01-05,노원구,5567,167243,3.2,-3.0,9.5,0.0,0.0317,0.0218,0.72,0.0033,83.0,56.0
2024-01-05,도봉구,2064,94901,3.7,-0.5,10.6,0.0,0.0363,0.022,0.95,0.0033,77.0,59.0
2024-01-05,동대문구,3141,106738,5.5,2.4,9.7,0.0,0.0398,0.0183,0.87,0.0037,84.0,56.0
2024-01-05,동작구,1737,94924,4.5,-0.7,9.8,0.0,0.0264,0.032,0.65,0.003,84.0,59.0
2024-01-05,마포구,4294,277347,5.2,0.6,9.5,0.0,0.034,0.0241,0.73,0.0034,75.0,57.0
2024-01-05,서대문구,1846,96029,4.6,-0.1,9.1,0.0,0.0332,0.0217,1.17,0.0042,80.0,60.0
2024-01-05,서초구,2611,154899,5.7,2.4,10.0,0.0,0.0256,0.0238,0.63,0.0029,94.0,64.0
2024-01-05,성동구,3735,127198,5.6,2.5,9.3,0.0,0.0336,0.0195,0.7,0.0027,82.0,51.0
2024-01-05,성북구,2210,49269,4.3,0.5,8.9,0.0,0.0359,0.0177,0.99,0.0028,87.0,59.0
2024-01-05,송파구,8428,203634,6.0,3.2,10.0,0.0,0.0353,0.0214,0.69,0.003,74.0,49.0
2024-01-05,양천구,6190,36845,,,,0.0,0.0332,0.0243,0.76,0.0033,84.0,60.0
2024-01-05,영등포구,8457,334864,5.9,2.3,9.8,0.0,0.03,0.0266,0.72,0.0034,75.0,56.0
2024-01-05,용산구,1584,0,,,,0.0,0.0344,0.0175,0.78,0.0025,78.0,42.0
2024-01-05,은평구,2134,125925,4.0,-2.4,9.1,0.0,0.0267,0.0211,1.28,0.0032,88.0,61.0
2024-01-05,종로구,3425,248331,4.2,0.4,8.9,0.0,0.0363,0.02,0.84,0.0037,89.0,61.0
2024-01-05,중구,2611,272430,3.7,-0.2,8.6,0.0,0.0369,0.0181,0.75,0.0034,76.0,58.0
2024-01-05,중랑구,2683,67286,5.8,2.8,9.3,0.0,0.0328,0.022,0.73,0.0029,72.0,56.0
2024-01-06,강남구,1680,236737,1.6,-0.8,5.7,0.0,0.0192,0.0244,0.38,0.0031,23.0,13.0
2024-01-06,강동구,2591,63886,1.4,-1.9,5.5,1.5,0.0256,0.0207,0.8,0.0024,25.0,12.0
2024-01-06,강북구,929,37559,0.3,-3.0,4.0,2.0,0.0136,0.0282,0.41,0.0026,22.0,13.0
2024-01-06,강서구,6718,127751,0.8,-3.2,5.6,1.5,0.0225,0.0226,0.44,0.0036,26.0,12.0
2024-01-06,관악구,1620,127185,-0.5,-3.9,4.4,0.0,0.0206,0.0226,0.44,0.0028,25.0,11.0
2024-01-06,광진구,2743,57782,1.6,-0.5,4.8,1.0,0.0236,0.0238,0.27,0.0027,27.0,12.0
2024-01-06,구로구,2305,85318,,,,,,,,,,
2024-01-06,금천구,850,38586,1.2,-0.9,5.4,0.0,0.0241,0.021,0.44,0.0026,22.0,10.0
2024-01-06,노원구,4057,123943,-0.4,-6.4,5.5,0.5,0.0206,0.0218,0.44,0.0028,31.0,18.0
2024-01-06,도봉구,1502,71860,0.6,-4.3,6.7,0.0,0.0127,0.0324,0.48,0.0029,19.0,13.0
2024-01-06,동대문구,1917,77311,1.5,-1.3,5.0,1.0,0.0177,0.0253,0.43,0.0033,26.0,14.0
2024-01-06,동작구,1143,71908,1.0,-4.4,6.1,1.0,0.0219,0.0233,0.36,0.0026,22.0,12.0
2024-01-06,마포구,2482,223297,0.3,-2.6,4.6,0.0,0.0214,0.0229,0.42,0.0027,21.0,11.0
2024-01-06,서대문구,1122,74246,-0.3,-3.7,4.2,2.0,0.017,0.0257,0.64,0.0031,23.0,14.0
2024-01-06,서초구,1569,124346,1.5,-0.9,5.3,1.0,0.0148,0.0238,0.35,0.0029,37.0,9.0
2024-01-06,성동구,1902,85319,1.3,-0.9,5.2,0.0,0.0172,0.0234,0.36,0.0025,23.0,12.0
2024-01-06,성북구,1468,33908,0.6,-2.3,4.2,0.0,0.017,0.023,0.53,0.0025,24.0,14.0
2024-01-06,송파구,5498,128258,1.7,-0.5,5.3,1.0,0.022,0.024,0.42,0.0028,25.0,12.0
2024-01-06,양천구,4062,25023,1.4,-0.9,5.4,1.0,0.0242,0.022,0.46,0.0031,25.0,13.0
2024-01-06,영등포구,4566,211898,1.4,-1.0,6.1,1.5,0.0206,0.0248,0.41,0.0027,21.0,11.0
2024-01-06,용산구,1030,0,1.0,-2.0,5.0,1.5,0.0174,0.0221,0.45,0.0025,25.0,12.0
2024-01-06,은평구,1548,92232,-1.2,-6.2,4.6,1.5,0.0152,0.022,0.89,0.0029,27.0,16.0
2024-01-06,종로구,1697,187385,-0.3,-3.3,4.6,0.5,0.0156,0.0281,0.44,0.0029,25.0,15.0
2024-01-06,중구,1127,163848,-1.2,-3.6,3.4,2.5,0.0161,0.0264,0.39,0.0031,19.0,13.0
2024-01-06,중랑구,1800,48499,1.7,-0.8,5.2,1.5,0.022,0.0213,0.42,0.0026,23.0,15.0
2024-01-07,강남구,886,138817,-3.1,-6.9,0.0,0.0,0.0102,0.0275,0.38,0.003,24.0,15.0
2024-01-07,강동구,1447,45190,-3.6,-7.6,-0.4,0.0,0.0119,0.027,0.77,0.0029,22.0,11.0
2024-01-07,강북구,544,27343,-4.6,-8.9,-1.1,0.0,0.0059,0.0306,0.4,0.0024,24.0,15.0
2024-01-07,강서구,3254,94275,-3.7,-7.5,-0.7,0.0,0.0131,0.0256,0.43,0.0033,26.0,12.0
2024-01-07,관악구,1044,89810,-4.8,-8.7,-1.2,0.0,0.012,0.0251,0.44,0.0025,25.0,13.0
2024-01-07,광진구,1676,42464,-3.4,-6.8,0.1,0.0,0.0108,0.028,0.29,0.0026,25.0,13.0
2024-01-07,구로구,1452,59407,,,,0.0,0.0086,0.0221,0.42,0.0028,26.0,14.0
2024-01-07,금천구,452,25918,-3.7,-7.3,-0.5,0.0,0.0112,0.0269,0.43,0.0023,22.0,14.0
2024-01-07,노원구,2490,87754,-3.8,-9.0,-0.7,0.0,0.0095,0.0259,0.41,0.0027,26.0,15.0
2024-01-07,도봉구,982,53158,-4.1,-8.1,-0.7,0.0,0.0061,0.0324,0.48,0.0029,20.0,14.0
2024-01-07,동대문구,1060,54642,-3.7,-7.3,-0.4,0.0,0.0109,0.0268,0.44,0.0033,25.0,14.0
2024-01-07,동작구,722,51687,-3.3,-7.2,-0.2,0.0,0.0116,0.0264,0.38,0.0024,25.0,15.0
2024-01-07,마포구,1241,166106,-4.7,-8.9,-1.1,0.0,0.0132,0.0255,0.43,0.0024,22.0,13.0
2024-01-07,서대문구,580,55246,-5.2,-9.1,-2.4,0.0,0.0109,0.0266,0.62,0.0033,23.0,15.0
2024-01-07,서초구,859,100067,-3.2,-6.9,-0.4,0.0,0.0074,0.0276,0.35,0.003,,11.0
2024-01-07,성동구,1059,65377,-3.6,-7.2,-0.3,0.0,0.0089,0.0268,0.36,0.0023,22.0,12.0
2024-01-07,성북구,818,25794,-4.8,-8.4,-1.4,0.0,0.006,0.0272,0.53,0.0027,22.0,14.0
2024-01-07,송파구,2684,89164,-3.1,-6.7,0.2,0.0,0.0123,0.0274,0.43,0.0025,24.0,14.0
2024-01-07,양천구,2530,16797,-3.4,-7.1,-0.6,0.0,0.0147,0.0246,0.46,0.0029,26.0,16.0
2024-01-07,영등포구,2670,152706,-3.5,-7.2,-0.6,0.0,0.012,0.0285,0.43,0.0028,22.0,14.0
2024-01-07,용산구,544,0,-3.6,-7.5,-0.6,0.0,0.0104,0.024,0.46,0.0024,24.0,13.0
2024-01-07,은평구,830,64810,-6.6,-11.3,-2.3,0.0,0.0111,0.0223,0.87,0.003,26.0,14.0
2024-01-07,종로구,902,118782,-5.6,-9.7,-2.4,0.0,0.0094,0.029,0.44,0.0026,24.0,16.0
2024-01-07,중구,513,121593,-6.4,-10.2,-3.2,0.0,0.0112,0.0265,0.41,0.003,20.0,15.0
2024-01-07,중랑구,1052,34046,-3.5,-7.0,0.0,0.0,0.0125,0.0244,0.41,0.0025,21.0,14.0
2024-01-08,강남구,2077,397338,-3.7,-8.5,0.7,0.0,0.0269,0.0119,0.45,0.0029,23.0,14.0
2024-01-08,강동구,2691,90955,-4.0,-9.3,0.6,0.0,0.0298,0.0114,0.7,0.003,22.0,10.0
2024-01-08,강북구,884,44229,-5.4,-11.2,-0.6,0.0,0.0214,0.0147,0.5,0.0023,23.0,13.0
2024-01-08,강서구,8738,177254,-4.0,-9.9,0.1,0.0,0.0287,0.0134,0.54,0.0036,25.0,11.0
2024-01-08,관악구,1472,145260,-6.1,-12.0,-0.7,0.0,0.0268,0.0117,0.52,0.0028,23.0,11.0
2024-01-08,광진구,3101,59985,-3.9,-8.5,0.0,0.0,0.0298,0.014,0.38,0.0024,22.0,12.0
2024-01-08,구로구,2718,124026,-4.4,-10.0,0.0,0.0,0.0192,0.0113,0.47,0.0029,27.0,13.0
2024-01-08,금천구,1407,100741,-3.8,-8.4,0.1,0.0,0.0288,0.0127,0.53,0.0025,24.0,15.0
2024-01-08,노원구,3943,154579,-5.6,-13.3,-0.1,0.0,0.0277,0.0121,0.53,0.003,28.0,17.0
2024-01-08,도봉구,1507,86389,-5.1,-11.1,2.3,0.0,0.024,0.0166,0.54,0.0026,20.0,13.0
2024-01-08,동대문구,2132,96071,-3.9,-8.9,0.3,0.0,0.0296,0.013,0.52,0.0035,22.0,12.0
2024-01-08,동작구,1186,87366,-4.4,-10.6,0.7,0.0,0.0274,0.0121,0.46,0.0024,23.0,14.0
2024-01-08,마포구,2526,248123,-4.5,-9.9,-0.7,0.0,0.0288,0.0109,0.52,0.0026,23.0,15.0
2024-01-08,서대문구,1129,88537,-5.6,-11.3,-1.0,0.0,0.0259,0.0135,0.73,0.0043,22.0,14.0
2024-01-08,서초구,1906,141515,-3.9,-9.1,0.5,0.0,0.0248,0.0118,0.41,0.003,28.0,11.0
2024-01-08,성동구,2704,117351,-3.7,-8.0,-0.1,0.0,0.026,0.0125,0.43,0.0023,22.0,11.0
2024-01-08,성북구,1464,45251,-4.9,-9.9,-1.0,0.0,0.0234,0.0128,0.65,0.0028,23.0,14.0
2024-01-08,송파구,5572,188290,-3.3,-8.2,0.4,0.0,0.0269,0.0133,0.48,0.0024,24.0,13.0
2024-01-08,양천구,4412,34608,-3.4,-8.0,0.2,0.0,0.029,0.0127,0.54,0.003,25.0,14.0
2024-01-08,영등포구,6093,311334,-3.5,-8.0,0.0,0.0,0.0275,0.0115,0.53,0.0028,21.0,13.0
2024-01-08,용산구,1029,0,-4.0,-9.3,-0.1,0.0,0.0279,0.0108,0.54,0.0026,23.0,11.0
2024-01-08,은평구,1392,116779,-6.8,-13.8,-0.8,0.0,0.0236,0.0132,0.87,0.0031,23.0,11.0
2024-01-08,종로구,2354,224950,-5.6,-11.1,-0.1,0.0,0.0254,0.0128,0.54,0.0027,23.0,16.0
