일자,자치구,총사용수(B),총사용수(S)
2024-01-13,노원구,4370,128141
2024-01-13,도봉구,1491,73743
2024-01-13,동대문구,2119,79645
2024-01-13,동작구,1304,75364
2024-01-13,마포구,2944,232970
2024-01-13,서대문구,1278,77495
2024-01-13,서초구,1747,130672
2024-01-13,성동구,2200,82744
2024-01-13,성북구,1521,34826
2024-01-13,송파구,5949,133844
2024-01-13,양천구,4666,25233
2024-01-13,영등포구,5279,226101
2024-01-13,용산구,1236,0
2024-01-13,은평구,1762,94983
2024-01-13,종로구,1959,191740
2024-01-13,중구,1304,163713
2024-01-13,중랑구,2081,50060
2024-01-14,강남구,848,137121
2024-01-14,강동구,1329,43984
2024-01-14,강북구,445,25736
2024-01-14,강서구,3524,92159
2024-01-14,관악구,903,88514
2024-01-14,광진구,1492,39131
2024-01-14,구로구,1235,58560
2024-01-14,금천구,427,25653
2024-01-14,노원구,1896,86305
2024-01-14,도봉구,661,51087
2024-01-14,동대문구,900,50681
2024-01-14,동작구,620,47190
2024-01-14,마포구,1300,162769
2024-01-14,서대문구,614,50788
2024-01-14,서초구,705,100787
2024-01-14,성동구,987,53446
2024-01-14,성북구,742,25291
2024-01-14,송파구,2562,88886
2024-01-14,양천구,2196,16331
2024-01-14,영등포구,2389,152687
2024-01-14,용산구,554,0
2024-01-14,은평구,759,63305
2024-01-14,종로구,844,115465
2024-01-14,중구,540,111533
2024-01-14,중랑구,912,45789
2024-01-15,강남구,2199,402629
2024-01-15,강동구,2826,92934
2024-01-15,강북구,916,44771
2024-01-15,강서구,10132,182660
2024-01-15,관악구,1560,147528
2024-01-15,광진구,3281,60071
2024-01-15,구로구,3062,125733
2024-01-15,금천구,1427,101475
2024-01-15,노원구,3792,157232
2024-01-15,도봉구,1413,87790
2024-01-15,동대문구,2330,98810
2024-01-15,동작구,1170,88552
2024-01-15,마포구,3083,254500
2024-01-15,서대문구,1370,90184
2024-01-15,서초구,2039,143109
2024-01-15,성동구,2748,115680
2024-01-15,성북구,1625,46260
2024-01-15,송파구,6219,190818
2024-01-15,양천구,4595,35124
2024-01-15,영등포구,6441,316383
2024-01-15,용산구,1163,0
2024-01-15,은평구,1558,119118
2024-01-15,종로구,2692,228503
2024-01-15,중구,1864,252520
2024-01-15,중랑구,1959,86926
2024-01-16,강남구,2519,416164
2024-01-16,강동구,3082,95256
2024-01-16,강북구,938,45915
2024-01-16,강서구,11062,186490
2024-01-16,관악구,1815,152692
2024-01-16,광진구,3785,61822
2024-01-16,구로구,3324,129149
2024-01-16,금천구,1719,102491
2024-01-16,노원구,4294,161372
2024-01-16,도봉구,1521,91711
2024-01-16,동대문구,2571,100975
2024-01-16,동작구,1347,90584
2024-01-16,마포구,3418,259472
2024-01-16,서대문구,1606,92725
2024-01-16,서초구,2269,145702
2024-01-16,성동구,3179,120779
