일자,자치구,총사용수,type
2024-01-14,강동구,1329,Bike
2024-01-14,강북구,445,Bike
2024-01-14,강서구,3524,Bike
2024-01-14,관악구,903,Bike
2024-01-14,광진구,1492,Bike
2024-01-14,구로구,1235,Bike
2024-01-14,금천구,427,Bike
2024-01-14,노원구,1896,Bike
2024-01-14,도봉구,661,Bike
2024-01-14,동대문구,900,Bike
2024-01-14,동작구,620,Bike
2024-01-14,마포구,1300,Bike
2024-01-14,서대문구,614,Bike
2024-01-14,서초구,705,Bike
2024-01-14,성동구,987,Bike
2024-01-14,성북구,742,Bike
2024-01-14,송파구,2562,Bike
2024-01-14,양천구,2196,Bike
2024-01-14,영등포구,2389,Bike
2024-01-14,용산구,554,Bike
2024-01-14,은평구,759,Bike
2024-01-14,종로구,844,Bike
2024-01-14,중구,540,Bike
2024-01-14,중랑구,912,Bike
2024-01-15,강남구,2199,Bike
2024-01-15,강동구,2826,Bike
2024-01-15,강북구,916,Bike
2024-01-15,강서구,10132,Bike
2024-01-15,관악구,1560,Bike
2024-01-15,광진구,3281,Bike
2024-01-15,구로구,3062,Bike
2024-01-15,금천구,1427,Bike
2024-01-15,노원구,3792,Bike
2024-01-15,도봉구,1413,Bike
2024-01-15,동대문구,2330,Bike
2024-01-15,동작구,1170,Bike
2024-01-15,마포구,3083,Bike
2024-01-15,서대문구,1370,Bike
2024-01-15,서초구,2039,Bike
2024-01-15,성동구,2748,Bike
2024-01-15,성북구,1625,Bike
2024-01-15,송파구,6219,Bike
2024-01-15,양천구,4595,Bike
2024-01-15,영등포구,6441,Bike
2024-01-15,용산구,1163,Bike
2024-01-15,은평구,1558,Bike
2024-01-15,종로구,2692,Bike
2024-01-15,중구,1864,Bike
2024-01-15,중랑구,1959,Bike
2024-01-16,강남구,2519,Bike
2024-01-16,강동구,3082,Bike
2024-01-16,강북구,938,Bike
2024-01-16,강서구,11062,Bike
2024-01-16,관악구,1815,Bike
2024-01-16,광진구,3785,Bike
2024-01-16,구로구,3324,Bike
2024-01-16,금천구,1719,Bike
2024-01-16,노원구,4294,Bike
2024-01-16,도봉구,1521,Bike
2024-01-16,동대문구,2571,Bike
2024-01-16,동작구,1347,Bike
2024-01-16,마포구,3418,Bike
2024-01-16,서대문구,1606,Bike
2024-01-16,서초구,2269,Bike
2024-01-16,성동구,3179,Bike
2024-01-16,성북구,1767,Bike
2024-01-16,송파구,6756,Bike
2024-01-16,양천구,5043,Bike
2024-01-16,영등포구,7232,Bike
2024-01-16,용산구,1379,Bike
2024-01-16,은평구,1755,Bike
2024-01-16,종로구,3079,Bike
2024-01-16,중구,2109,Bike
2024-01-16,중랑구,2208,Bike
2024-01-17,강남구,1111,Bike
2024-01-17,강동구,1524,Bike
2024-01-17,강북구,435,Bike
2024-01-17,강서구,5334,Bike
2024-01-17,관악구,798,Bike
2024-01-17,광진구,1818,Bike
2024-01-17,구로구,1542,Bike
2024-01-17,금천구,826,Bike
2024-01-17,노원구,1940,Bike
2024-01-17,도봉구,707,Bike
2024-01-17,동대문구,1277,Bike
2024-01-17,동작구,649,Bike
2024-01-17,마포구,1479,Bike
2024-01-17,서대문구,790,Bike
2024-01-17,서초구,961,Bike
2024-01-17,성동구,1431,Bike
2024-01-17,성북구,840,Bike
2024-01-17,송파구,3084,Bike
2024-01-17,양천구,2327,Bike
2024-01-17,영등포구,3275,Bike
2024-01-17,용산구,614,Bike
2024-01-17,은평구,856,Bike
2024-01-17,종로구,1459,Bike
2024-01-17,중구,943,Bike
2024-01-17,중랑구,983,Bike
2024-01-18,강남구,2391,Bike
2024-01-18,강동구,2990,Bike
2024-01-18,강북구,957,Bike
2024-01-18,강서구,10171,Bike
2024-01-18,관악구,1647,Bike
2024-01-18,광진구,3549,Bike
2024-01-18,구로구,3140,Bike
2024-01-18,금천구,1682,Bike
2024-01-18,노원구,3975,Bike
2024-01-18,도봉구,1527,Bike
2024-01-18,동대문구,2504,Bike
2024-01-18,동작구,1323,Bike
2024-01-18,마포구,3477,Bike
2024-01-18,서대문구,1355,Bike
2024-01-18,서초구,2149,Bike
2024-01-18,성동구,3127,Bike
2024-01-18,성북구,1671,Bike
2024-01-18,송파구,6584,Bike
2024-01-18,양천구,4841,Bike
2024-01-18,영등포구,7134,Bike
2024-01-18,용산구,1461,Bike
2024-01-18,은평구,1739,Bike
2024-01-18,종로구,3159,Bike
2024-01-18,중구,2232,Bike
2024-01-18,중랑구,2078,Bike
2024-01-19,강남구,3148,Bike
2024-01-19,강동구,3818,Bike
2024-01-19,강북구,1193,Bike
2024-01-19,강서구,12012,Bike
2024-01-19,관악구,2057,Bike
2024-01-19,광진구,4205,Bike
2024-01-19,구로구,3776,Bike
2024-01-19,금천구,1796,Bike
2024-01-19,노원구,4897,Bike
2024-01-19,도봉구,1935,Bike
2024-01-19,동대문구,2869,Bike
2024-01-19,동작구,1565,Bike
2024-01-19,마포구,4077,Bike
2024-01-19,서대문구,1649,Bike
2024-01-19,서초구,2637,Bike
2024-01-19,성동구,3458,Bike
2024-01-19,성북구,1996,Bike
2024-01-19,송파구,8087,Bike
2024-01-19,양천구,5829,Bike
2024-01-19,영등포구,8294,Bike
2024-01-19,용산구,1612,Bike
2024-01-19,은평구,2059,Bike
2024-01-19,종로구,3467,Bike
2024-01-19,중구,2555,Bike
2024-01-19,중랑구,2590,Bike
2024-01-20,강남구,1188,Bike
2024-01-20,강동구,2017,Bike
2024-01-20,강북구,705,Bike
2024-01-20,강서구,5245,Bike
2024-01-20,관악구,1073,Bike
2024-01-20,광진구,1992,Bike
2024-01-20,구로구,1597,Bike
2024-01-20,금천구,566,Bike
2024-01-20,노원구,2872,Bike
2024-01-20,도봉구,1023,Bike
2024-01-20,동대문구,1438,Bike
2024-01-20,동작구,772,Bike
2024-01-20,마포구,1719,Bike
2024-01-20,서대문구,863,Bike
2024-01-20,서초구,1028,Bike
2024-01-20,성동구,1371,Bike
2024-01-20,성북구,1163,Bike
2024-01-20,송파구,3737,Bike
2024-01-20,양천구,3173,Bike
2024-01-20,영등포구,3284,Bike
2024-01-20,용산구,688,Bike
2024-01-20,은평구,1200,Bike
2024-01-20,종로구,1248,Bike
2024-01-20,중구,796,Bike
2024-01-20,중랑구,1480,Bike
2024-01-21,강남구,1170,Bike
2024-01-21,강동구,1617,Bike
2024-01-21,강북구,718,Bike
2024-01-21,강서구,4371,Bike
2024-01-21,관악구,985,Bike
2024-01-21,광진구,1854,Bike
2024-01-21,구로구,1428,Bike
2024-01-21,금천구,491,Bike
2024-01-21,노원구,2818,Bike
2024-01-21,도봉구,976,Bike
2024-01-21,동대문구,1269,Bike
2024-01-21,동작구,710,Bike
2024-01-21,마포구,1603,Bike
2024-01-21,서대문구,744,Bike
2024-01-21,서초구,1004,Bike
2024-01-21,성동구,1247,Bike
2024-01-21,성북구,1015,Bike
2024-01-21,송파구,3330,Bike
2024-01-21,양천구,2554,Bike
2024-01-21,영등포구,2910,Bike
2024-01-21,용산구,643,Bike
2024-01-21,은평구,1016,Bike
2024-01-21,종로구,1113,Bike
2024-01-21,중구,662,Bike
2024-01-21,중랑구,1328,Bike
2024-01-22,강남구,1494,Bike
2024-01-22,강동구,2039,Bike
2024-01-22,강북구,619,Bike
2024-01-22,강서구,7566,Bike
2024-01-22,관악구,1010,Bike
2024-01-22,광진구,2398,Bike
2024-01-22,구로구,1952,Bike
2024-01-22,금천구,1008,Bike
2024-01-22,노원구,2703,Bike
2024-01-22,도봉구,922,Bike
2024-01-22,동대문구,1410,Bike
2024-01-22,동작구,738,Bike
2024-01-22,마포구,1969,Bike
2024-01-22,서대문구,828,Bike
2024-01-22,서초구,1359,Bike
2024-01-22,성동구,1882,Bike
2024-01-22,성북구,1024,Bike
2024-01-22,송파구,4464,Bike
2024-01-22,양천구,3108,Bike
2024-01-22,영등포구,4517,Bike
2024-01-22,용산구,749,Bike
2024-01-22,은평구,1034,Bike
2024-01-22,종로구,1686,Bike
2024-01-22,중구,1213,Bike
2024-01-22,중랑구,1359,Bike
2024-01-23,강남구,1346,Bike
2024-01-23,강동구,1881,Bike
2024-01-23,강북구,566,Bike
2024-01-23,강서구,6481,Bike
2024-01-23,관악구,976,Bike
2024-01-23,광진구,2135,Bike
2024-01-23,구로구,1879,Bike
2024-01-23,금천구,934,Bike
2024-01-23,노원구,2387,Bike
2024-01-23,도봉구,817,Bike
2024-01-23,동대문구,1376,Bike
2024-01-23,동작구,680,Bike
2024-01-23,마포구,1774,Bike
2024-01-23,서대문구,764,Bike
2024-01-23,서초구,1233,Bike
2024-01-23,성동구,1731,Bike
2024-01-23,성북구,910,Bike
2024-01-23,송파구,3953,Bike
2024-01-23,양천구,2727,Bike
2024-01-23,영등포구,3954,Bike
2024-01-23,용산구,637,Bike
2024-01-23,은평구,968,Bike
2024-01-23,종로구,1720,Bike
2024-01-23,중구,1111,Bike
2024-01-23,중랑구,1209,Bike
2024-01-24,강남구,1543,Bike
2024-01-24,강동구,2121,Bike
2024-01-24,강북구,665,Bike
2024-01-24,강서구,7498,Bike
2024-01-24,관악구,1066,Bike
2024-01-24,광진구,2520,Bike
2024-01-24,구로구,2057,Bike
2024-01-24,금천구,1101,Bike
2024-01-24,노원구,2889,Bike
2024-01-24,도봉구,988,Bike
2024-01-24,동대문구,1602,Bike
2024-01-24,동작구,816,Bike
2024-01-24,마포구,2139,Bike
2024-01-24,서대문구,872,Bike
2024-01-24,서초구,1414,Bike
2024-01-24,성동구,2017,Bike
2024-01-24,성북구,1111,Bike
2024-01-24,송파구,4547,Bike
2024-01-24,양천구,3119,Bike
2024-01-24,영등포구,4594,Bike
2024-01-24,용산구,819,Bike
2024-01-24,은평구,1193,Bike
2024-01-24,종로구,2005,Bike
2024-01-24,중구,1320,Bike
2024-01-24,중랑구,1452,Bike
2024-01-25,강남구,1984,Bike
2024-01-25,강동구,2539,Bike
2024-01-25,강북구,792,Bike
2024-01-25,강서구,8950,Bike
2024-01-25,관악구,1274,Bike
2024-01-25,광진구,2856,Bike
2024-01-25,구로구,2573,Bike
2024-01-25,금천구,1261,Bike
2024-01-25,노원구,3573,Bike
2024-01-25,도봉구,1311,Bike
2024-01-25,동대문구,2017,Bike
2024-01-25,동작구,1051,Bike
2024-01-25,마포구,2658,Bike
2024-01-25,서대문구,1141,Bike
2024-01-25,서초구,1765,Bike
2024-01-25,성동구,2419,Bike
2024-01-25,성북구,1380,Bike
2024-01-25,송파구,5540,Bike
2024-01-25,양천구,3781,Bike
2024-01-25,영등포구,5639,Bike
2024-01-25,용산구,1042,Bike
2024-01-25,은평구,1523,Bike
2024-01-25,종로구,2508,Bike
2024-01-25,중구,1769,Bike
2024-01-25,중랑구,1715,Bike
2024-01-26,강남구,2509,Bike
2024-01-26,강동구,3142,Bike
2024-01-26,강북구,969,Bike
2024-01-26,강서구,10353,Bike
2024-01-26,관악구,1584,Bike
2024-01-26,광진구,3517,Bike
2024-01-26,구로구,3015,Bike
2024-01-26,금천구,1506,Bike
