대여일시,자치구,총사용수
2024-01-20,성동구,1371
2024-01-20,성북구,1163
2024-01-20,송파구,3737
2024-01-20,양천구,3173
2024-01-20,영등포구,3284
2024-01-20,용산구,688
2024-01-20,은평구,1200
2024-01-20,종로구,1248
2024-01-20,중구,796
2024-01-20,중랑구,1480
2024-01-21,강남구,1170
2024-01-21,강동구,1617
2024-01-21,강북구,718
2024-01-21,강서구,4371
2024-01-21,관악구,985
2024-01-21,광진구,1854
2024-01-21,구로구,1428
2024-01-21,금천구,491
2024-01-21,노원구,2818
2024-01-21,도봉구,976
2024-01-21,동대문구,1269
2024-01-21,동작구,710
2024-01-21,마포구,1603
2024-01-21,서대문구,744
2024-01-21,서초구,1004
2024-01-21,성동구,1247
2024-01-21,성북구,1015
2024-01-21,송파구,3330
2024-01-21,양천구,2554
2024-01-21,영등포구,2910
2024-01-21,용산구,643
2024-01-21,은평구,1016
2024-01-21,종로구,1113
2024-01-21,중구,662
2024-01-21,중랑구,1328
2024-01-22,강남구,1494
2024-01-22,강동구,2039
2024-01-22,강북구,619
2024-01-22,강서구,7566
2024-01-22,관악구,1010
2024-01-22,광진구,2398
2024-01-22,구로구,1952
2024-01-22,금천구,1008
2024-01-22,노원구,2703
2024-01-22,도봉구,922
2024-01-22,동대문구,1410
2024-01-22,동작구,738
2024-01-22,마포구,1969
2024-01-22,서대문구,828
2024-01-22,서초구,1359
2024-01-22,성동구,1882
2024-01-22,성북구,1024
2024-01-22,송파구,4464
2024-01-22,양천구,3108
2024-01-22,영등포구,4517
2024-01-22,용산구,749
2024-01-22,은평구,1034
2024-01-22,종로구,1686
2024-01-22,중구,1213
2024-01-22,중랑구,1359
2024-01-23,강남구,1346
2024-01-23,강동구,1881
2024-01-23,강북구,566
2024-01-23,강서구,6481
2024-01-23,관악구,976
2024-01-23,광진구,2135
2024-01-23,구로구,1879
2024-01-23,금천구,934
2024-01-23,노원구,2387
2024-01-23,도봉구,817
2024-01-23,동대문구,1376
2024-01-23,동작구,680
2024-01-23,마포구,1774
2024-01-23,서대문구,764
2024-01-23,서초구,1233
2024-01-23,성동구,1731
2024-01-23,성북구,910
2024-01-23,송파구,3953
2024-01-23,양천구,2727
2024-01-23,영등포구,3954
2024-01-23,용산구,637
2024-01-23,은평구,968
2024-01-23,종로구,1720
2024-01-23,중구,1111
2024-01-23,중랑구,1209
2024-01-24,강남구,1543
2024-01-24,강동구,2121
2024-01-24,강북구,665
2024-01-24,강서구,7498
2024-01-24,관악구,1066
2024-01-24,광진구,2520
2024-01-24,구로구,2057
2024-01-24,금천구,1101
2024-01-24,노원구,2889
2024-01-24,도봉구,988
2024-01-24,동대문구,1602
2024-01-24,동작구,816
2024-01-24,마포구,2139
2024-01-24,서대문구,872
2024-01-24,서초구,1414
2024-01-24,성동구,2017
2024-01-24,성북구,1111
2024-01-24,송파구,4547
2024-01-24,양천구,3119
2024-01-24,영등포구,4594
2024-01-24,용산구,819
2024-01-24,은평구,1193
2024-01-24,종로구,2005
2024-01-24,중구,1320
2024-01-24,중랑구,1452
2024-01-25,강남구,1984
2024-01-25,강동구,2539
2024-01-25,강북구,792
2024-01-25,강서구,8950
2024-01-25,관악구,1274
2024-01-25,광진구,2856
2024-01-25,구로구,2573
2024-01-25,금천구,1261
2024-01-25,노원구,3573
2024-01-25,도봉구,1311
2024-01-25,동대문구,2017
2024-01-25,동작구,1051
2024-01-25,마포구,2658
2024-01-25,서대문구,1141
2024-01-25,서초구,1765
2024-01-25,성동구,2419
2024-01-25,성북구,1380
2024-01-25,송파구,5540
2024-01-25,양천구,3781
2024-01-25,영등포구,5639
2024-01-25,용산구,1042
2024-01-25,은평구,1523
2024-01-25,종로구,2508
2024-01-25,중구,1769
2024-01-25,중랑구,1715
2024-01-26,강남구,2509
2024-01-26,강동구,3142
2024-01-26,강북구,969
2024-01-26,강서구,10353
2024-01-26,관악구,1584
2024-01-26,광진구,3517
2024-01-26,구로구,3015
2024-01-26,금천구,1506
2024-01-26,노원구,4191
2024-01-26,도봉구,1463
2024-01-26,동대문구,2366
2024-01-26,동작구,1355
2024-01-26,마포구,3276
2024-01-26,서대문구,1373
2024-01-26,서초구,2156
2024-01-26,성동구,2888
2024-01-26,성북구,1622
2024-01-26,송파구,6817
2024-01-26,양천구,4691
2024-01-26,영등포구,6960
2024-01-26,용산구,1353
2024-01-26,은평구,1729
2024-01-26,종로구,2908
2024-01-26,중구,1975
2024-01-26,중랑구,2129
2024-01-27,강남구,1651
2024-01-27,강동구,2633
2024-01-27,강북구,860
2024-01-27,강서구,6845
2024-01-27,관악구,1590
2024-01-27,광진구,2831
2024-01-27,구로구,2297
2024-01-27,금천구,808
2024-01-27,노원구,3806
2024-01-27,도봉구,1447
2024-01-27,동대문구,1878
2024-01-27,동작구,1138
2024-01-27,마포구,2557
2024-01-27,서대문구,1140
2024-01-27,서초구,1632
2024-01-27,성동구,1884
2024-01-27,성북구,1502
2024-01-27,송파구,5484
2024-01-27,양천구,4148
2024-01-27,영등포구,4715
2024-01-27,용산구,1122
2024-01-27,은평구,1597
2024-01-27,종로구,1803
2024-01-27,중구,1240
2024-01-27,중랑구,1809
2024-01-28,강남구,1381
2024-01-28,강동구,2320
2024-01-28,강북구,802
2024-01-28,강서구,5520
2024-01-28,관악구,1294
