사용일자,자치구,승차총승객수
20240116,양천구,36661
20240116,영등포구,324929
20240116,은평구,122807
20240116,종로구,238583
20240116,중구,261593
20240116,중랑구,89012
20240117,강남구,419504
20240117,강동구,96056
20240117,강북구,45457
20240117,강서구,186334
20240117,관악구,153534
20240117,광진구,62102
20240117,구로구,128374
20240117,금천구,102606
20240117,노원구,162856
20240117,도봉구,91026
20240117,동대문구,102423
20240117,동작구,90811
20240117,마포구,262182
20240117,서대문구,92470
20240117,서초구,148839
20240117,성동구,121518
20240117,성북구,47569
20240117,송파구,199792
20240117,양천구,36025
20240117,영등포구,330425
20240117,은평구,121758
20240117,종로구,247617
20240117,중구,269372
20240117,중랑구,88747
20240118,강남구,418061
20240118,강동구,96732
20240118,강북구,46641
20240118,강서구,189124
20240118,관악구,156900
20240118,광진구,63400
20240118,구로구,130664
20240118,금천구,103327
20240118,노원구,163796
20240118,도봉구,92370
20240118,동대문구,104512
20240118,동작구,92737
20240118,마포구,266040
20240118,서대문구,92541
20240118,서초구,149178
20240118,성동구,122706
20240118,성북구,48340
20240118,송파구,201658
20240118,양천구,36927
20240118,영등포구,332370
20240118,은평구,123947
20240118,종로구,248113
20240118,중구,266273
20240118,중랑구,90307
20240119,강남구,423334
20240119,강동구,98106
20240119,강북구,48409
20240119,강서구,193018
20240119,관악구,165728
20240119,광진구,66669
20240119,구로구,132852
20240119,금천구,102872
20240119,노원구,169206
20240119,도봉구,97062
20240119,동대문구,108136
20240119,동작구,97732
20240119,마포구,278352
20240119,서대문구,95210
20240119,서초구,160615
20240119,성동구,126083
20240119,성북구,49302
20240119,송파구,209673
20240119,양천구,37410
20240119,영등포구,341143
20240119,은평구,127589
20240119,종로구,256136
20240119,중구,272411
20240119,중랑구,92887
20240120,강남구,242404
20240120,강동구,66809
20240120,강북구,38354
20240120,강서구,130443
20240120,관악구,131719
20240120,광진구,56575
20240120,구로구,86210
20240120,금천구,39490
20240120,노원구,125377
20240120,도봉구,72002
20240120,동대문구,78253
20240120,동작구,73505
20240120,마포구,226328
20240120,서대문구,75191
20240120,서초구,130066
20240120,성동구,81779
20240120,성북구,34700
20240120,송파구,133525
20240120,양천구,24664
20240120,영등포구,221245
20240120,은평구,93202
20240120,종로구,193011
20240120,중구,164044
20240120,중랑구,68557
20240121,강남구,141832
20240121,강동구,46052
20240121,강북구,28249
20240121,강서구,97032
20240121,관악구,91368
20240121,광진구,42140
20240121,구로구,62505
20240121,금천구,27297
20240121,노원구,91447
20240121,도봉구,54939
20240121,동대문구,58858
20240121,동작구,49823
20240121,마포구,166887
20240121,서대문구,52945
20240121,서초구,102436
20240121,성동구,56876
20240121,성북구,26253
20240121,송파구,90484
20240121,양천구,17085
20240121,영등포구,157266
20240121,은평구,66914
20240121,종로구,126410
20240121,중구,118594
20240121,중랑구,49138
20240122,강남구,393290
20240122,강동구,91928
20240122,강북구,43371
20240122,강서구,178071
20240122,관악구,142320
20240122,광진구,58918
20240122,구로구,122055
20240122,금천구,99877
20240122,노원구,154248
20240122,도봉구,85310
20240122,동대문구,95471
20240122,동작구,85412
20240122,마포구,243047
20240122,서대문구,85463
20240122,서초구,139246
20240122,성동구,113018
20240122,성북구,45204
20240122,송파구,188793
20240122,양천구,34369
20240122,영등포구,310728
20240122,은평구,116108
20240122,종로구,222472
20240122,중구,248966
20240122,중랑구,84319
20240123,강남구,392819
20240123,강동구,88248
20240123,강북구,42022
20240123,강서구,168704
20240123,관악구,141975
20240123,광진구,57140
20240123,구로구,119308
20240123,금천구,97479
20240123,노원구,148058
20240123,도봉구,81828
20240123,동대문구,91324
20240123,동작구,83181
20240123,마포구,237540
20240123,서대문구,83134
20240123,서초구,133987
20240123,성동구,110858
20240123,성북구,43703
20240123,송파구,183130
20240123,양천구,33713
20240123,영등포구,305813
20240123,은평구,112207
20240123,종로구,217643
20240123,중구,248163
20240123,중랑구,81920
20240124,강남구,399175
20240124,강동구,91849
20240124,강북구,44315
20240124,강서구,181270
20240124,관악구,147255
20240124,광진구,60412
20240124,구로구,123203
20240124,금천구,99338
20240124,노원구,154428
20240124,도봉구,85699
20240124,동대문구,96189
20240124,동작구,86099
20240124,마포구,247047
20240124,서대문구,86456
20240124,서초구,141156
20240124,성동구,116004
20240124,성북구,45656
20240124,송파구,189983
20240124,양천구,34376
20240124,영등포구,316671
20240124,은평구,117266
20240124,종로구,228891
20240124,중구,255950
20240124,중랑구,84973
20240125,강남구,409951
20240125,강동구,94479
20240125,강북구,46426
20240125,강서구,185414
20240125,관악구,152541
20240125,광진구,62439
20240125,구로구,126229
20240125,금천구,101133
20240125,노원구,159859
20240125,도봉구,89583
20240125,동대문구,101402
20240125,동작구,89331
20240125,마포구,259492
20240125,서대문구,89542
20240125,서초구,146147
20240125,성동구,119475
20240125,성북구,47299
20240125,송파구,194733
20240125,양천구,35854
20240125,영등포구,326084
20240125,은평구,122099
20240125,종로구,240775
20240125,중구,264186
20240125,중랑구,88312
20240126,강남구,419327
20240126,강동구,97391
20240126,강북구,47783
20240126,강서구,190196
20240126,관악구,163337
20240126,광진구,65848
20240126,구로구,130567
20240126,금천구,101960
20240126,노원구,168231
20240126,도봉구,95141
20240126,동대문구,107431
20240126,동작구,95913
20240126,마포구,276076
20240126,서대문구,93845
20240126,서초구,159694
20240126,성동구,123688
20240126,성북구,48750
20240126,송파구,202451
20240126,양천구,37187
20240126,영등포구,340155
20240126,은평구,126390
20240126,종로구,249579
20240126,중구,270050
20240126,중랑구,92427
20240127,강남구,240276
20240127,강동구,65031
20240127,강북구,38247
20240127,강서구,132259
20240127,관악구,129615
20240127,광진구,56446
20240127,구로구,86292
20240127,금천구,40033
20240127,노원구,126127
20240127,도봉구,73374
20240127,동대문구,81384
20240127,동작구,72313
20240127,마포구,227026
20240127,서대문구,75003
20240127,서초구,129335
20240127,성동구,81417
20240127,성북구,34453
20240127,송파구,137231
20240127,양천구,24931
20240127,영등포구,221909
20240127,은평구,93957
20240127,종로구,190179
20240127,중구,169067
20240127,중랑구,69035
20240128,강남구,140990
20240128,강동구,46107
20240128,강북구,28195
20240128,강서구,97073
20240128,관악구,92458
20240128,광진구,41038
20240128,구로구,61708
20240128,금천구,27882
20240128,노원구,92084
20240128,도봉구,56510
20240128,동대문구,60451
20240128,동작구,49949
20240128,마포구,170536
20240128,서대문구,53859
20240128,서초구,102991
20240128,성동구,59252
20240128,성북구,26689
20240128,송파구,96176
20240128,양천구,17219
20240128,영등포구,158372
20240128,은평구,68221
20240128,종로구,128909
20240128,중구,123826
20240128,중랑구,49066
20240129,강남구,399904
20240129,강동구,94065
20240129,강북구,46036
20240129,강서구,184555
20240129,관악구,147230
20240129,광진구,60423
20240129,구로구,127051
20240129,금천구,102475
20240129,노원구,159515
20240129,도봉구,90513
20240129,동대문구,101693
20240129,동작구,88359
20240129,마포구,251133
20240129,서대문구,87545
20240129,서초구,143867
20240129,성동구,117625
20240129,성북구,46555
20240129,송파구,192901
20240129,양천구,35662
20240129,영등포구,319624
